모범음식점 지정명단(반기보고),,,,,,,,,
,,,,,,,,,
연번,반기,시도,시군구,업태,주메뉴,업소명,주소,전화번호 ,비고
200,,제주특별자치도,제주시,일식,"초밥, 생선회",이학,제주특별자치도 제주시 남성로 113 (삼도일동), 064- 749-8801,
201,,제주특별자치도,제주시,중국식,해물누룽지탕,이화원,"제주특별자치도 제주시 달마루길 20, 2~3층 (노형동)", 064- 796-4548,
202,,제주특별자치도,제주시,한식,,일등정육식당,제주특별자치도 제주시 한림읍 한림상로 145, 064- 726-3999,
203,,제주특별자치도,제주시,식육(숯불구이),샤브샤브,일맥샤브,제주특별자치도 제주시 중앙로14길 40-8 (삼도이동), 064- 746-0338,
204,,제주특별자치도,제주시,일식,"생선회, 지리",일품물항아리,"제주특별자치도 제주시 정원로 49, 1층 (노형동)", 064- 727-7779,
205,,제주특별자치도,제주시,한식,샤브샤브,일품샤브샤브,제주특별자치도 제주시 동광로 161 (일도이동), 064- 746-2222,
206,,제주특별자치도,제주시,한식,국수,자매국수노형점,제주특별자치도 제주시 월랑로4길 6 (노형동), 064- 722-2992,
207,,제주특별자치도,제주시,식육(숯불구이),돼지구이,장씨네,"제주특별자치도 제주시 서사로 78 (삼도일동, 제1호)",064 -799 -7889,
208,,제주특별자치도,제주시,한식,한우고기,장촌한우마을,제주특별자치도 제주시 애월읍 천덕로 440-4, 064- 742-8556,
209,,제주특별자치도,제주시,한식,황제전복삼계탕,장춘육당,"제주특별자치도 제주시 신대로10길 36, 1층 (연동)", 064- 712-8856,
210,,제주특별자치도,제주시,회집,돼지갈비,재현이네갈비,제주특별자치도 제주시 선덕로 7 (연동),,
211,,제주특별자치도,제주시,기타,흑돼지구이,저팔계깡통숯불구이,"제주특별자치도 제주시 조천읍 신북로 523, 1층", 064- 721-9520,
212,,제주특별자치도,제주시,한식,"콩나물국밥, 콩나물비빔밥",전주콩나루콩나물국밥신제주점,제주특별자치도 제주시 신대로10길 16 (연동), 064- 758-2334,
213,,제주특별자치도,제주시,식육(숯불구이),,정담,제주특별자치도 제주시 구남로8길 6 (이도이동),064-783-4900,
214,,제주특별자치도,제주시,한식,"손두부, 청국장",정순화손두부,제주특별자치도 제주시 조천읍 일주동로 1415, 064- 746-8429,
215,,제주특별자치도,제주시,한식,말고기,정우말가든,제주특별자치도 제주시 아연로 17 (연동), 064- 742-9333,
216,,제주특별자치도,제주시,한식,"생선회, 매운탕",제일식당,제주특별자치도 제주시 추자면 추자로 16-2, 064- 742-7712,
217,,제주특별자치도,제주시,식육(숯불구이),"소갈비, 냉면",제주늘봄,제주특별자치도 제주시 고사마루길 6 (노형동), 064- 783-4158,
218,,제주특별자치도,제주시,회집,생선회,제주동복해녀식당,제주특별자치도 제주시 구좌읍 동복로 5,064-0712-8255,
219,,제주특별자치도,제주시,한식,정식,제주맛촌본점,"제주특별자치도 제주시 서해안로 546, 2층 (용담삼동)",064-757-2300,
220,,제주특별자치도,제주시,식육(숯불구이),흑돼지구이,제주몬트락,"제주특별자치도 제주시 임항로 20, 2~3층 (건입동)",064-0753-9275,
221,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,제주배밭고을,제주특별자치도 제주시 고마로 144 (이도이동), 064- 784-0900,
222,,제주특별자치도,제주시,한식,흑돼지불고기정식,제주본가,"제주특별자치도 제주시 조천읍 비자림로 684, 1층", 064- 742-1295,
223,,제주특별자치도,제주시,한식,한식,제주섬,"제주특별자치도 제주시 월성로 2, 1층 (용담이동)",064-0726-0083,
224,,제주특별자치도,제주시,한식,"보쌈, 족발",제주소드래,"제주특별자치도 제주시 가령로 1, 2층 (이도이동)",064-782-8866,
225,,제주특별자치도,제주시,한식,해장국,제주순풍해장국,"제주특별자치도 제주시 조천읍 신북로 604, 1층", 064- 745-3400,
226,,제주특별자치도,제주시,한식,,제주여행가야밀면,"제주특별자치도 제주시 원노형9길 14, 1층 (노형동)",064-0742-0110,
227,,제주특별자치도,제주시,한식,"불주꾸미볶음,철판주꾸미볶음",제주연북로해물탕,"제주특별자치도 제주시 연북로 221, 2층 (오라이동)", 064- 745-8866,
228,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,제주영재숯불,제주특별자치도 제주시 신광로10길 23 (연동), 064- 748-3005,
229,,제주특별자치도,제주시,한식,"흑돼지오겹살, 말코스요리",제주오라성,"제주특별자치도 제주시 오라남로 16, 1층 (오라이동)",064-721-2228,
230,,제주특별자치도,제주시,한식,"갈비탕,갈비찜",제주정,"제주특별자치도 제주시 일주동로 320, 1층 (삼양이동)",064-747-0810,
231,,제주특별자치도,제주시,한식,"스테이크, 스파게티",제주정지,제주특별자치도 제주시 서해안로 480 (용담삼동), 064- 749-7735,
232,,제주특별자치도,제주시,식육(숯불구이),,제주축협한우플라자노형점(3층),"제주특별자치도 제주시 노형11길 25, 3층 (노형동)",064 - 758-5201,
233,,제주특별자치도,제주시,식육(숯불구이),,제주축협한우플라자삼화점,"제주특별자치도 제주시 건주로 45, 2,3층 (도련일동)",,
234,,제주특별자치도,제주시,한식,장어구이,제주통큰장어,제주특별자치도 제주시 청귤로3길 50 (이도이동), 064- 744-9000,
235,,제주특별자치도,제주시,식육(숯불구이),"쇠갈비, 냉면",제주한우리,제주특별자치도 제주시 고사마루길 10 (노형동), 064- 901-9633,
236,,제주특별자치도,제주시,식육(숯불구이),,제주한우앤돈,"제주특별자치도 제주시 구좌읍 세평항로 19, 1층", 064- 712-1666,
237,,제주특별자치도,제주시,한식,,제주향토골,"제주특별자치도 제주시 공항로 2 (용담이동, 제주국제공항여객청사 4층)", 064- 726-2656,
238,,제주특별자치도,제주시,식육(숯불구이),흑돼지구이,제주흑돼지마씸,"제주특별자치도 제주시 탑동로 18, 1층 2호 (삼도이동)",064 -711 -3535,
239,,제주특별자치도,제주시,탕류(보신용),"뼈다귀전골, 찜",조마루뼈다귀노형점,제주특별자치도 제주시 수덕로 83 (노형동),064-0742-5885,
240,,제주특별자치도,제주시,한식,뼈다귀전골,조마루뼈다귀외도점,제주특별자치도 제주시 우정로11길 3 (외도일동), 064- 712-9803,
241,,제주특별자치도,제주시,한식,감자탕,조마루뼈다귀용담점,제주특별자치도 제주시 흥운길 20 (용담이동), 064- 751-5115,
242,,제주특별자치도,제주시,한식,해장국,조마루뼈다귀일도지구점,제주특별자치도 제주시 연수로3길 5 (일도이동), 064- 758-5525,
243,,제주특별자치도,제주시,중국식,자장면,즐겨찾기,제주특별자치도 제주시 매촌1길 18 (도련이동),  064-744-6645,
244,,제주특별자치도,제주시,한식,,지지지,"제주특별자치도 제주시 신대로 104, A,B동 1층 (연동)",,
245,,제주특별자치도,제주시,한식,한방삼계탕,지호한방삼계탕제주곽지과물점,"제주특별자치도 제주시 애월읍 곽지1길 3, 1층 2호",,
246,,제주특별자치도,제주시,식육(숯불구이),흑돼지구이,진돼지,"제주특별자치도 제주시 은수길 65, B동 1층 (연동)",,
247,,제주특별자치도,제주시,식육(숯불구이),,징기스이도점,"제주특별자치도 제주시 승천로 68, 1층 (아라이동)", 064- 751-3305,
248,,제주특별자치도,제주시,일식,"생선회, 초밥",채원,제주특별자치도 제주시 가령골2길 4 (이도이동), 064- 723-9200,
249,,제주특별자치도,제주시,식육(숯불구이),흑돼지구이,천둥소리,제주특별자치도 제주시 원남6길 5 (도남동),0064-0725-8877,
250,,제주특별자치도,제주시,식육(숯불구이),장어구이,천지연무태장어천지연,제주특별자치도 제주시 연삼로 461 (이도이동),064-0748-6592,
251,,제주특별자치도,제주시,식육(숯불구이),,천하일품,제주특별자치도 제주시 신대로14길 35 (연동),064-0742-1101,
252,,제주특별자치도,제주시,한식,성게전복돌솥밥,천해천,"제주특별자치도 제주시 한라대학로 25, 1~2층 (노형동)", 064- 757-3392,
253,,제주특별자치도,제주시,한식,"갈치, 고등어구이(조림) ,뚝배기, 물회",청어림,제주특별자치도 제주시 원노형7길 10 (노형동), 064- 782-5201,
254,,제주특별자치도,제주시,한식,돼지갈비,청우가든,제주특별자치도 제주시 조천읍 일주동로 792,064 -758 -1333,
255,,제주특별자치도,제주시,회집,,초가장,제주특별자치도 제주시 서부두길 16 (건입동), 064- 783-8527,
256,,제주특별자치도,제주시,한식,,초원식당,제주특별자치도 제주시 조천읍 신북로 598, 064- 783-4242,
257,,제주특별자치도,제주시,한식,회국수,촌촌해녀촌,"제주특별자치도 제주시 구좌읍 동복로 35, 1층", 064- 747-3342,
258,,제주특별자치도,제주시,경양식,스테이크,카페레몬테이블제주노형점,제주특별자치도 제주시 과원북4길 29 (노형동), 064- 722-6274,
259,,제주특별자치도,제주시,뷔페식,"초밥,롤",쿠우쿠우제주시청점,"제주특별자치도 제주시 서광로30길 8, 2층 201호 (이도이동)", 064- 748-5800,
260,,제주특별자치도,제주시,한식,뷔페,탐라향,"제주특별자치도 제주시 서해안로 346-13, 1층 (도두이동)", 064- 758-0123,
261,,제주특별자치도,제주시,한식,"전복죽, 전복돌솥밥, 전복회, 성게국",탑동산호전복,제주특별자치도 제주시 탑동로 59 (삼도이동), 064- 753-7869,
262,,제주특별자치도,제주시,식육(숯불구이),"삼겹살, 오겹살",탑부평,제주특별자치도 제주시 관덕로15길 26 (건입동),0064-0751-1071,
263,,제주특별자치도,제주시,한식,돼지주물럭,태광,제주특별자치도 제주시 탑동로 144 (용담일동), 064- 747-6692,
264,,제주특별자치도,제주시,식육(숯불구이),"쇠고기, 돼지갈비",태백산1호점,"제주특별자치도 제주시 광평동로 45, B동 1층 (노형동)", 064- 747-8592,
265,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,태백산2호점,제주특별자치도 제주시 진군1길 17 (노형동), 064- 744-0001,
266,,제주특별자치도,제주시,식육(숯불구이),식육,태백산제주본점,"제주특별자치도 제주시 도공로 154-12, 1~2층 (이호이동)", 064- 783-2297,
267,,제주특별자치도,제주시,한식,"토종닭, 흑돼지",토계정,제주특별자치도 제주시 조천읍 교래3길 1, 064- 713-4444,
268,,제주특별자치도,제주시,한식,,토끼와거북이,"제주특별자치도 제주시 서해안로 498-6, 101호 (용담삼동)", 064- 721-9002,
269,,제주특별자치도,제주시,한식,아귀찜,통영아귀찜,제주특별자치도 제주시 번영로 535 (봉개동), 064- 711-7815,
270,,제주특별자치도,제주시,회집,"생선회, 지리",투망,"제주특별자치도 제주시 도두항서길 69-1, 1~3층 (도두일동)", 064- 726-3796,
271,,제주특별자치도,제주시,한식,갈비탕,파라다이스회관,"제주특별자치도 제주시 삼성로 9, 파라다이스회관 (이도일동)",,
272,,제주특별자치도,제주시,기타,전복요리,평대전복,"제주특별자치도 제주시 구좌읍 해맞이해안로 1254-2, 1층", 064- 749-9493,
273,,제주특별자치도,제주시,호프/통닭,닭요리,푸라닭신제주점,"제주특별자치도 제주시 원노형로 36, 103,104호 (노형동)",,
274,,제주특별자치도,제주시,기타,갈치조림,푸른밤의해안속초식당,"제주특별자치도 제주시 노형로 40, 1층 (해안동)",,
275,,제주특별자치도,제주시,한식,탕수육,푸이,"제주특별자치도 제주시 중앙로21길 10, 1층 (이도일동)", 064- 744-6788,
276,,제주특별자치도,제주시,한식,"설렁탕, 도가니탕",푸주옥노형점,제주특별자치도 제주시 월랑로 65 (노형동),064-727-8889,
277,,제주특별자치도,제주시,탕류(보신용),설렁탕,푸주옥도남점,제주특별자치도 제주시 독짓골4길 4 (도남동), 064- 727-8888,
278,,제주특별자치도,제주시,한식,"도가니탕, 설렁탕, 꼬리곰탕",푸주옥오라점,제주특별자치도 제주시 오라로 140 (오라일동), 064- 713-2535,
279,,제주특별자치도,제주시,식육(숯불구이),돼지갈비,풍경채,제주특별자치도 제주시 오도길 10-3 (이호이동),064-742-8500,
280,,제주특별자치도,제주시,식육(숯불구이),쇠고기,풍전,"제주특별자치도 제주시 연동8길 30, 2층 (연동)", 064- 713-6255,
281,,제주특별자치도,제주시,한식,장어구이,풍천만가,"제주특별자치도 제주시 아연로 40, 1층 (연동)",064-713-2555,
282,,제주특별자치도,제주시,한식,흑돼지모듬,하귀바글바글가든,제주특별자치도 제주시 애월읍 하귀5길 6, 064- 711-9233,
283,,제주특별자치도,제주시,한식,,하귀청마루,제주특별자치도 제주시 애월읍 항몽로 71-1, 064-749 -1068,
284,,제주특별자치도,제주시,한식,삼계탕,하늘채,제주특별자치도 제주시 오등14길 4 (오등동),,
285,,제주특별자치도,제주시,한식,"밀면,칼국수",하르방밀면공항점,"제주특별자치도 제주시 공설로 53, 1층 (오라일동)",064 -796 -1817,
286,,제주특별자치도,제주시,일식,생선회,한림바다생태체험마을,제주특별자치도 제주시 한림읍 한림해안로 200, 064- 796-5449,
287,,제주특별자치도,제주시,한식,"생선회, 매운탕",한림일품,제주특별자치도 제주시 한림읍 한림해안로 154, 064- 725-4333,
288,,제주특별자치도,제주시,회집,생선회,한어정,제주특별자치도 제주시 만덕로6길 34 (일도일동), 064- 726-5671,
289,,제주특별자치도,제주시,식육(숯불구이),쇠고기모듬,한우플라자,제주특별자치도 제주시 중앙로 415 (아라이동), 064- 799-3191,
290,,제주특별자치도,제주시,한식,"갈비, 우족탕",한일식당,제주특별자치도 제주시 애월읍 납읍남로 48,,
291,,제주특별자치도,제주시,한식,설렁탕,한촌설렁탕삼화점,제주특별자치도 제주시 일주동로 285 (삼양삼동),,
292,,제주특별자치도,제주시,기타,돼지고기,함덕에이플러스가든,"제주특별자치도 제주시 조천읍 함덕12길 51, 쉬젠비아채아파트 가동 2층",,
293,,제주특별자치도,제주시,기타,소고기,함덕에이플러스식당,"제주특별자치도 제주시 조천읍 함덕12길 51, 쉬젠비아채아파트 1층 101호", 064- 783-5438,
294,,제주특별자치도,제주시,한식,"회국수, 돔지리",해녀촌식당,제주특별자치도 제주시 구좌읍 동복로 33,064 -758 -3620,
295,,제주특별자치도,제주시,일식,"활어회,초밥",해모둠,제주특별자치도 제주시 청귤로3길 53 (이도이동), 064- 751-9966,
296,,제주특별자치도,제주시,한식,해물탕,해물탕다우정,제주특별자치도 제주시 고산동산2길 9 (이도이동),064 -784 -8828,
297,,제주특별자치도,제주시,일식,,해어랑,제주특별자치도 제주시 조천읍 조함해안로 525 (이동),064-0711-9730,
298,,제주특별자치도,제주시,회집,생선회,해연,제주특별자치도 제주시 흥운길 83 (용담이동),0064-0711-2552,
299,,제주특별자치도,제주시,회집,"활어회,갈치조림,뚝배기,해물전골",해원,"제주특별자치도 제주시 서해안로 687-6, 1~2층 (용담이동)", 064- 742-6303,
300,,제주특별자치도,제주시,한식,"생선회, 지리",해원앙,제주특별자치도 제주시 연삼로 457-1 (이도이동),,
301,,제주특별자치도,제주시,한식,회국수,해원향,"제주특별자치도 제주시 선사로8길 31, 1층 (삼양일동)",,
302,,제주특별자치도,제주시,한식,보말칼국수,해월정,"제주특별자치도 제주시 구좌읍 해맞이해안로 2340, 1층",0064-0757-8889,
303,,제주특별자치도,제주시,회집,,해진횟집,제주특별자치도 제주시 서부두길 26 (건입동),064-722-4764,
304,,제주특별자치도,제주시,일식,"참치회,초밥",혼참치,"제주특별자치도 제주시 오복4길 3, 1~2층 (이도이동)", 064- 747-4343,
305,,제주특별자치도,제주시,일식,"초밥, 생선회",홋카이도,"제주특별자치도 제주시 노연로 42, 201호,202호,203호,205호 (노형동)", 064- 756-4041,
306,,제주특별자치도,제주시,한식,쌈밥정식,홍소반,제주특별자치도 제주시 천수로6길 36 (이도이동),0064-746 -8152,
307,,제주특별자치도,제주시,식육(숯불구이),"토속음식, 갈비",화남가든,제주특별자치도 제주시 노형로 44 (해안동), 064- 723-2181,
308,,제주특별자치도,제주시,중국식,,화룡각,"제주특별자치도 제주시 산지로 13-1 (건입동, 제1호)", 064- 748-0023,
309,,제주특별자치도,제주시,한식,"한정식,생선회",화목원,"제주특별자치도 제주시 연화남길 41, A동 1층 (연동)", 064- 799-7551,
310,,제주특별자치도,제주시,한식,"고등어조림, 보말국",화연이네,제주특별자치도 제주시 애월읍 애월해안로 224, 064- 742-9776,
311,,제주특별자치도,제주시,식육(숯불구이),,황금섬숯불갈비,제주특별자치도 제주시 추자면 추자로 36,064-0748-8989,
312,,제주특별자치도,제주시,한식,"갈치조림(구이), 고등어조림(구이)",황금어장,제주특별자치도 제주시 사장길 14 (연동), 064- 748-8887,
313,,제주특별자치도,제주시,회집,참치회,후니참치,제주특별자치도 제주시 노연로 39 (노형동), 064- 742-2227,
314,,제주특별자치도,제주시,식육(숯불구이),흑돼지구이,흑돈가,제주특별자치도 제주시 한라대학로 11 (노형동),064 -742 -1108,
315,,제주특별자치도,제주시,한식,흑돼지,흑돼지가있는풍경,제주특별자치도 제주시 진군남4길 7-8 (노형동),,
316,,제주특별자치도,제주시,식육(숯불구이),흑우구이,흑소랑,제주특별자치도 제주시 연북로 631 (아라이동),    -    -    ,
317,하반기,제주특별자치도,서귀포시,한식,"대방어회, 갈치조림",부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62, 064- 794-1223,
318,하반기,제주특별자치도,서귀포시,한식,소갈비,삼수정식당,제주특별자치도 서귀포시 성산읍 동류암로 45, 064- 782-2146,
319,하반기,제주특별자치도,서귀포시,한식,"해물뚝배기,조림",진주식당,"제주특별자치도 서귀포시 태평로 353, 1,2층 (서귀동)", 064- 762-5158,
320,하반기,제주특별자치도,서귀포시,일식,활어회,진미명가식당,제주특별자치도 서귀포시 안덕면 사계남로 167, 064- 794-3639,
321,하반기,제주특별자치도,서귀포시,한식,오리문어전골,올랭이와물꾸럭,제주특별자치도 서귀포시 대정읍 신영로 93-5, 064- 794-5022,
322,하반기,제주특별자치도,서귀포시,일식,활어회,영빈횟집,제주특별자치도 서귀포시 칠십리로 129 (서귀동), 064- 732-3488,
323,하반기,제주특별자치도,서귀포시,한식,불고기정식,오라방식당,제주특별자치도 서귀포시 표선면 성읍서문로 19,064 -787 -7878,
324,하반기,제주특별자치도,서귀포시,한식,해물뚝배기,제주뚝배기,제주특별자치도 서귀포시 성산읍 일출로 255, 064- 782-1089,
325,하반기,제주특별자치도,서귀포시,중식,"짜장면, 짬뽕",대우반점,제주특별자치도 서귀포시 표선면 표선중앙로 66, 064- 787-5333,
326,하반기,제주특별자치도,서귀포시,중식,"짬뽕,탕수육",신태백관,제주특별자치도 서귀포시 대정읍 동일하모로 196, 064- 794-8537,
327,하반기,제주특별자치도,서귀포시,중식,"짜장면, 짬뽕",사해방,제주특별자치도 서귀포시 중문관광로 338 (대포동), 064- 738-7775,
328,하반기,제주특별자치도,서귀포시,일식,활어회,남경미락,제주특별자치도 서귀포시 안덕면 사계남로 190-7, 064- 794-0055,
329,하반기,제주특별자치도,서귀포시,일식,활어회,제주해풍횟집,제주특별자치도 서귀포시 칠십리로 41 (서귀동), 064- 763-1008,
330,하반기,제주특별자치도,서귀포시,한식,복어요리,새만부정,제주특별자치도 서귀포시 칠십리로 135 (서귀동), 064- 733-7750,
331,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 양념갈비",해심갈비,제주특별자치도 서귀포시 천제연로 203-4 (중문동), 064- 738-2820,
332,하반기,제주특별자치도,서귀포시,일식,활어회,동해미락,제주특별자치도 서귀포시 칠십리로 133 (서귀동), 064- 733-5921,
333,하반기,제주특별자치도,서귀포시,한식,해물전골,전망좋은집,제주특별자치도 서귀포시 성산읍 일출로 248, 064- 784-1568,
334,하반기,제주특별자치도,서귀포시,한식,"전복뚝배기, 조림",수희식당,제주특별자치도 서귀포시 태평로 377 (서귀동), 064- 762-0777,
335,하반기,제주특별자치도,서귀포시,한식,흑염소전골,흑염소마루,제주특별자치도 서귀포시 남원읍 태위로663번길 1-1,064 -764 -6678,
336,하반기,제주특별자치도,서귀포시,한식,돼지불고기,낭밭식당,제주특별자치도 서귀포시 표선면 서성일로 31, 064- 787-0414,
337,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,돌집식당,제주특별자치도 서귀포시 표선면 서성일로 23, 064- 787-3720,
338,하반기,제주특별자치도,서귀포시,일식,해물뚝배기,해촌,제주특별자치도 서귀포시 성산읍 일출로 220, 064- 784-8001,
339,하반기,제주특별자치도,서귀포시,한식,삼계탕,약촌삼계탕,제주특별자치도 서귀포시 중산간동로 7750 (토평동), 064- 733-5377,
340,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 동치미국수",쉬는팡,제주특별자치도 서귀포시 상예로 244 (상예동), 064- 738-5833,
341,하반기,제주특별자치도,서귀포시,일식,활어회,큰갯물횟집,제주특별자치도 서귀포시 대포로 161 (대포동), 064- 738-1625,
342,하반기,제주특별자치도,서귀포시,일식,회정식,대포동산횟집,제주특별자치도 서귀포시 이어도로 164 (대포동), 064- 738-6060,
343,하반기,제주특별자치도,서귀포시,한식,해장국,모이세해장국모슬포점,제주특별자치도 서귀포시 대정읍 동일하모로 201,064 -792 -5382,
344,하반기,제주특별자치도,서귀포시,일식,"활어회, 매운탕",하영횟집,제주특별자치도 서귀포시 이어도로 1043 (서호동), 064- 739-8161,
345,하반기,제주특별자치도,서귀포시,한식,전복죽,오조해녀의 집,제주특별자치도 서귀포시 성산읍 한도로 141-13, 064- 784-0893,
346,하반기,제주특별자치도,서귀포시,한식,한정식,거부한정식서귀포점,제주특별자치도 서귀포시 남성중로 2-3 (서홍동),064 -762 -4115,
347,하반기,제주특별자치도,서귀포시,일식,"활어회, 매운탕",대포어촌횟집,"제주특별자치도 서귀포시 이어도로 75, 산호초회마당 1층 (대포동)", 064- 738-0560,
348,하반기,제주특별자치도,서귀포시,일식,해물뚝배기,바다풍경,제주특별자치도 서귀포시 성산읍 일출로288번길 17, 064- 784-9779,
349,하반기,제주특별자치도,서귀포시,한식,"닭해물탕, 해물탕",풍차맛집,제주특별자치도 서귀포시 칠십리로 203 (동홍동), 064- 732-6999,
350,하반기,제주특별자치도,서귀포시,한식,"고기국수, 돔베고기",이드레국수,제주특별자치도 서귀포시 천제연로 93 (색달동), 064- 738-8777,
351,하반기,제주특별자치도,서귀포시,일식,"활어회, 갈치구이",신우성송도횟집,제주특별자치도 서귀포시 중문관광로72번길 29-9 (색달동), 064- 738-3191,
352,하반기,제주특별자치도,서귀포시,일식,활어회,보물섬횟집,제주특별자치도 서귀포시 칠십리로 105 (서귀동), 064- 732-0009,
353,하반기,제주특별자치도,서귀포시,한식,"보말국, 보말칼국수",옥돔식당,제주특별자치도 서귀포시 대정읍 신영로36번길 62, 064- 794-8833,
354,하반기,제주특별자치도,서귀포시,한식,밀냉면,산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62, 064- 794-2165,
355,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 갈비탕",금바우,제주특별자치도 서귀포시 태평로371번길 4 (서귀동), 064- 733-1517,
356,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,서귀포흑돼지명가,제주특별자치도 서귀포시 태평로 122 (호근동), 064- 738-6939,
357,하반기,제주특별자치도,서귀포시,한식,민물장어구이,금강민물장어,제주특별자치도 서귀포시 일주동로 8597 (동홍동), 064- 733-2119,
358,하반기,제주특별자치도,서귀포시,일식,"생선회,초밥,물회",우정회센타,제주특별자치도 서귀포시 중앙로54번길 32 (서귀동), 064- 733-8522,
359,하반기,제주특별자치도,서귀포시,한식,흑돼지구이,명가솥뚜껑,제주특별자치도 서귀포시 중앙로62번길 36 (서귀동), 064- 763-0844,
360,하반기,제주특별자치도,서귀포시,한식,"칼국수, 흑돼지구이",제주손칼국수냉면전문점,제주특별자치도 서귀포시 일주동로 8599 (동홍동), 064- 763-3331,
361,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 쌈밥",황실가든,"제주특별자치도 서귀포시 중산간동로 8024, 황실가든 (서홍동)", 064- 733-7330,
362,하반기,제주특별자치도,서귀포시,한식,"모듬전골,설렁탕",진국옹기설렁탕,제주특별자치도 서귀포시 중앙로79번길 10 (서귀동), 064- 763-1750,
363,하반기,제주특별자치도,서귀포시,한식,해장국,미향해장국모슬포점,제주특별자치도 서귀포시 대정읍 일주서로 2476,064 -792 -8863,
364,하반기,제주특별자치도,서귀포시,일식,활어회,다미진,제주특별자치도 서귀포시 표선면 민속해안로 578-1, 064- 787-5050,
365,하반기,제주특별자치도,서귀포시,한식,"말고기, 흑돼지구이",신라원중문점,제주특별자치도 서귀포시 천제연로 107 (색달동), 064- 739-3395,
366,하반기,제주특별자치도,서귀포시,한식,"통갈치구이, 갈치조림",대기정,제주특별자치도 서귀포시 이어도로 41 (대포동), 064- 739-1041,
367,하반기,제주특별자치도,서귀포시,한식,돼지불고기,성읍타운,제주특별자치도 서귀포시 표선면 성읍민속로 191, 064- 787-8005,
368,하반기,제주특별자치도,서귀포시,한식,한식,돌하르방뚝배기식당,제주특별자치도 서귀포시 성산읍 일출로 264, 064- 784-6888,
369,하반기,제주특별자치도,서귀포시,일식,활어회,국수앤백사장회센터,제주특별자치도 서귀포시 표선면 표선당포로 19-3,064 -787 -5630,
370,하반기,제주특별자치도,서귀포시,일식,활어회,대포해송,제주특별자치도 서귀포시 이어도로 200-7 (대포동), 064- 738-4060,
371,하반기,제주특별자치도,서귀포시,한식,뼈다귀해장국,조마루뼈다귀서귀포점,"제주특별자치도 서귀포시 동홍동로 13, 1층 (동홍동)", 064- 763-4417,
372,하반기,제주특별자치도,서귀포시,한식,"갈치조림, 고등어조림",덤장중문점,제주특별자치도 서귀포시 천제연로 17 (색달동), 064- 738-2550,
373,하반기,제주특별자치도,서귀포시,한식,"갈매기살, 소갈비살",화끈한갈매기,제주특별자치도 서귀포시 중앙로150번길 4-1 (동홍동), 064- 763-9292,
374,하반기,제주특별자치도,서귀포시,한식,해물뚝배기,삼다해물뚝배기,제주특별자치도 서귀포시 일주동로 8167 (하효동), 064- 733-0591,
375,하반기,제주특별자치도,서귀포시,한식,말고기요리,목장원식당바스메,제주특별자치도 서귀포시 표선면 번영로 2524, 064- 787-3930,
376,하반기,제주특별자치도,서귀포시,한식,장어구이,풍천민물장어,제주특별자치도 서귀포시 대정읍 최남단해안로 37, 064- 792-8434,
377,하반기,제주특별자치도,서귀포시,중식,"탕수육, 꽃게짬뽕",덕성원본점,제주특별자치도 서귀포시 태평로401번길 4 (서귀동), 064- 762-2402,
378,하반기,제주특별자치도,서귀포시,한식,한우구이,천지한우촌식육식당,제주특별자치도 서귀포시 서문로29번길 28 (서귀동), 064- 733-9289,
379,하반기,제주특별자치도,서귀포시,일식,활어회,금데기식당,제주특별자치도 서귀포시 표선면 표선당포로 19-5, 064- 787-1575,
380,하반기,제주특별자치도,서귀포시,한식,"흑돼지오겹살, 전복돌솥밥",흑돼지구이집하영,제주특별자치도 서귀포시 천제연로 101 (색달동),064 -738 -6011,
381,하반기,제주특별자치도,서귀포시,한식,"흑돼지구이, 소고기구이",우돈가,"제주특별자치도 서귀포시 신서귀로 45, 1층 (법환동)",064 -739 -9297,
382,하반기,제주특별자치도,서귀포시,일식,참치요리,독도참치,제주특별자치도 서귀포시 동문로 62-1 (서귀동),064 -762 -5656,
383,하반기,제주특별자치도,서귀포시,일식,"활어회, 매운탕",쌍둥이횟집본점,제주특별자치도 서귀포시 중정로62번길 14 (서귀동),064 -762 -0478,
384,하반기,제주특별자치도,서귀포시,한식,"양념갈비, 냉면",서귀포갈비,제주특별자치도 서귀포시 동홍로 42 (동홍동),064 -762 -7549,
385,하반기,제주특별자치도,서귀포시,일식,활어회,죽림횟집,제주특별자치도 서귀포시 솔동산로 5-1 (서귀동),064 -733 -7688,
386,하반기,제주특별자치도,서귀포시,한식,밀면,관촌밀면,제주특별자치도 서귀포시 서문로29번길 13 (서귀동),064 -732 -5585,
387,하반기,제주특별자치도,서귀포시,일식,활어회,강해일횟집,제주특별자치도 서귀포시 표선면 표선당포로 14,064 -787 -7270,
