상호명,소재지,객실수,연락처,위도,경도,데이터기준일자,
휴양펜션 에버그린빌,제주특별자치도 서귀포시 칠십리로 310-23 ,10,064-767-3888,33.2459221,126.5860698,2020-06-30,121
휴양펜션 허니문 빌리지,제주특별자치도 서귀포시 칠십리로 340 ,10,064-767-4888,33.2457447,126.5878335,2020-06-30,222
이린펜션,제주특별자치도 서귀포시 일주서로43번길 5  ,10,064-739-5775,33.2495141,126.5037011,2020-06-30,112
더 코지 인 제주 휴양펜션,제주특별자치도 서귀포시 보목로70번길 3  ,10,070-4548-3910,33.2410373,126.6034004,2020-06-30,112
제주에코스위츠,제주특별자치도 서귀포시 중문상로 207-13 ,10,064-738-9975,33.2696393,126.4289254,2020-06-30,122
오랑제리펜션,제주특별자치도 서귀포시 법환상로2번길 58 ,10,064-739-5872,33.2446817,126.5145411,2020-06-30,222
제주플라야 휴양펜션,제주특별자치도 서귀포시 최영로 20-5  ,9,064-738-6262,33.2336015,126.5123972,2020-06-30,122
제주끄라비 펜션,제주특별자치도 서귀포시 토평로148번길 28 ,10,064-733-3399,33.2794224,126.5916018,2020-06-30,221
꿈꾸는 노마드,제주특별자치도 서귀포시 선반로 54 ,10,064-739-3114,33.2416622,126.4997165,2020-06-30,212
자인빌리지 펜션,제주특별자치도 서귀포시 하신상로 174-21 ,10,064-733-4824,33.2746746,126.609829,2020-06-30,211
오아시스 휴양펜션,제주특별자치도 서귀포시 상효로 74-10 ,8,064-733-1115,33.306381,126.5843885,2020-06-30,221
코코비치 리조트,제주특별자치도 서귀포시 태평로92번길 37 ,8,064-739-4222,33.2410946,126.5317333,2020-06-30,112
천제연 휴양펜션,제주특별자치도 서귀포시 천제연로 131-7 ,10,064-738-7545,33.2543554,126.419654,2020-06-30,121
해와 돌바라기 휴양펜션,제주특별자치도 서귀포시 쇠소깍로 209 ,9,064-767-8811,33.2525446,126.6235206,2020-06-30,111
천백 휴양펜션,제주특별자치도 서귀포시 1100로 6 ,10,064-738-3234,33.2643673,126.4437226,2020-06-30,212
도라미 휴양펜션,제주특별자치도 서귀포시 일주동로 8215 ,8,064-767-9797,33.2627155,126.6060002,2020-06-30,211
제이팜 휴양펜션,제주특별자치도 서귀포시 일주서로 505 ,10,064-738-0117,33.2584326,126.4353135,2020-06-30,221
모나코 휴양펜션,제주특별자치도 서귀포시 일주서로 166-56 ,10,064-767-2003,33.2550002,126.4915985,2020-06-30,121
돔스토리 휴양펜션,제주특별자치도 서귀포시 칠십리로 310-41 ,10,064-762-3746,33.2459154,126.5855635,2020-06-30,112
바라크라,제주특별자치도 서귀포시 칠십리로 504번길 8-4 ,9,064-733-3136,33.2401549,126.6043092,2020-06-30,122
쇠소깍 휴양펜션,제주특별자치도 서귀포시 쇠소깍로 138 ,10,064-767-2900,33.2516801,126.6226506,2020-06-30,111
남극노인성,제주특별자치도 서귀포시 하신상로 216 ,5,064-733-8869,33.2761847,126.6067488,2020-06-30,221
모이라펜션,제주특별자치도 서귀포시 516로 296 ,10,064-732-0005,33.2786689,126.5886438,2020-06-30,121
더썸 휴양펜션,제주특별자치도 서귀포시 성산읍 난고로42번길 110,9, - ,33.4433216,126.9065691,2020-06-30,212
하원가 휴양펜션,제주특별자치도 서귀포시 이어도로 278 ,7, - ,33.240469,126.493008,2020-06-30,111
고성2119,제주특별자치도 서귀포시 서성일로1136번길 14,6, - ,33.4441237,126.9000093,2020-06-30,122
해뜨는 초록마을 휴양펜션,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 8,8, - ,33.4494963,126.920717,2020-06-30,122
굿데이,제주특별자치도 서귀포시 남성로115번길 2,9, - ,33.2424538,126.5526182,2020-06-30,112
웨스티하우스,제주특별자치도 서귀포시 안덕면 감산리 210-5,7, - ,33.2297757,126.293107,2020-06-30,122
수모루 휴양펜션,제주특별자치도 서귀포시 이어도로 1059 ,9, - ,33.2460997,126.5241397,2020-06-30,212
썬앤문 휴양펜션,제주특별자치도 서귀포시 안덕면 사계리 102,8, - ,33.2371656,126.3159071,2020-06-30,112
고부루비어컴퍼니,제주특별자치도 서귀포시 남성중로 171,6, - ,33.2542585,126.553507,2020-06-30,212
오션브릭풀빌라 휴양펜션,제주특별자치도 안덕면 산방로 75-3,10, - ,33.2414797,126.3249237,2020-06-30,222
하이재 휴양펜션,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 5,3, - ,33.3643757,126.8395566,2020-06-30,212
